"row_id","<7 days","7-14 days","15-30 days","31-60 days","61-90 days","91-180 days","181-360 days","360+ days"
"Duarte-Jones-Wang - All_Observations [Mean]","-3.8299","-2.5651","-1.2558","-0.8134","-0.2508","-0.2063","-0.0576","-0.0219"
"Duarte-Jones-Wang - All_Observations [t-stat]","-9.97","-14.20","-16.36","-20.90","-6.57","-7.81","-3.50","-1.92"
"Duarte-Jones-Wang - All_Observations [p-value]","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0005","0.0545"
"Duarte-Jones-Wang - All_Observations [N]","13,104","24,081","65,046","109,216","70,341","100,318","148,070","142,909"
"Duarte-Jones-Wang - Midpoint [Mean]","-4.6064","-3.8095","-2.8876","-1.9950","-1.5281","-1.0025","-0.8106","0.4000"
"Duarte-Jones-Wang - Midpoint [t-stat]","-7.78","-9.76","-8.80","-7.82","-6.65","-2.96","-2.34","1.02"
"Duarte-Jones-Wang - Midpoint [p-value]","0.0000","0.0000","0.0000","0.0000","0.0000","0.0031","0.0193","0.3104"
"Duarte-Jones-Wang - Midpoint [N]","6,396","6,891","7,838","7,435","5,109","2,761","1,780","857"
"Duarte-Jones-Wang - Random [Mean]","-5.3478","-4.1760","-3.2269","-1.8295","-0.7459","-1.0701","-0.4069","0.3004"
"Duarte-Jones-Wang - Random [t-stat]","-8.76","-10.07","-9.52","-7.68","-3.83","-3.75","-1.39","0.97"
"Duarte-Jones-Wang - Random [p-value]","0.0000","0.0000","0.0000","0.0000","0.0001","0.0002","0.1642","0.3299"
"Duarte-Jones-Wang - Random [N]","6,396","6,891","7,838","7,435","5,109","2,761","1,780","857"
"Muravyev-Ni - All_Observations [Mean]","-8.7885","-4.8368","-2.1969","-1.2804","-0.6489","-0.4839","-0.2501","-0.2174"
"Muravyev-Ni - All_Observations [t-stat]","-14.79","-23.39","-28.45","-35.82","-21.36","-19.33","-17.35","-11.95"
"Muravyev-Ni - All_Observations [p-value]","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"Muravyev-Ni - All_Observations [N]","6,136","12,543","38,637","76,913","57,611","68,324","107,145","58,409"
"Muravyev-Ni - Midpoint [Mean]","-10.3647","-6.1597","-4.3276","-1.9992","-1.4718","-0.9670","-1.2149","0.3874"
"Muravyev-Ni - Midpoint [t-stat]","-12.33","-14.88","-15.11","-9.63","-8.55","-3.50","-4.57","0.81"
"Muravyev-Ni - Midpoint [p-value]","0.0000","0.0000","0.0000","0.0000","0.0000","0.0005","0.0000","0.4196"
"Muravyev-Ni - Midpoint [N]","2,962","3,645","5,147","5,871","4,618","2,646","1,681","928"
"Muravyev-Ni - Random [Mean]","-12.3314","-6.3367","-3.8083","-1.5818","-0.9092","-0.7146","-0.7261","-0.4665"
"Muravyev-Ni - Random [t-stat]","-13.95","-14.55","-13.56","-8.80","-6.04","-3.43","-2.95","-2.05"
"Muravyev-Ni - Random [p-value]","0.0000","0.0000","0.0000","0.0000","0.0000","0.0006","0.0032","0.0403"
"Muravyev-Ni - Random [N]","2,962","3,645","5,147","5,871","4,618","2,646","1,681","928"
