"row_id","Deep OTM","OTM","ATM","ITM","Deep ITM"
"Duarte-Jones-Wang - All_Observations [Mean]","-0.0206","-1.6418","-0.8882","-0.0127","-0.0032"
"Duarte-Jones-Wang - All_Observations [t-stat]","-0.43","-24.94","-20.58","-1.67","-1.83"
"Duarte-Jones-Wang - All_Observations [p-value]","0.6659","0.0000","0.0000","0.0955","0.0670"
"Duarte-Jones-Wang - Midpoint [Mean]","-3.9008","-9.2376","-2.8479","0.0860","-0.0351"
"Duarte-Jones-Wang - Midpoint [t-stat]","-4.61","-15.66","-8.94","1.68","-2.29"
"Duarte-Jones-Wang - Midpoint [p-value]","0.0000","0.0000","0.0000","0.0922","0.0222"
"Duarte-Jones-Wang - Random [Mean]","-2.6548","-8.7431","-3.8535","0.0532","0.0383"
"Duarte-Jones-Wang - Random [t-stat]","-3.34","-14.96","-11.38","1.02","2.47"
"Duarte-Jones-Wang - Random [p-value]","0.0008","0.0000","0.0000","0.3064","0.0135"
"Muravyev-Ni - All_Observations [Mean]","-0.4994","-1.7046","-1.4344","-0.2351","-0.1543"
"Muravyev-Ni - All_Observations [t-stat]","-11.66","-33.45","-34.40","-27.97","-28.74"
"Muravyev-Ni - All_Observations [p-value]","0.0000","0.0000","0.0000","0.0000","0.0000"
"Muravyev-Ni - Midpoint [Mean]","-0.5142","-8.0581","-4.6872","-0.4044","-0.4923"
"Muravyev-Ni - Midpoint [t-stat]","-0.71","-20.30","-18.25","-6.87","-12.51"
"Muravyev-Ni - Midpoint [p-value]","0.4771","0.0000","0.0000","0.0000","0.0000"
"Muravyev-Ni - Random [Mean]","-0.5662","-6.4758","-5.3146","-0.3120","-0.3677"
"Muravyev-Ni - Random [t-stat]","-0.93","-17.69","-19.49","-5.67","-10.20"
"Muravyev-Ni - Random [p-value]","0.3550","0.0000","0.0000","0.0000","0.0000"
