"row_id","<7 days","7-14 days","15-30 days","31-60 days","61-90 days","91-180 days","181-360 days","360+ days"
"Duarte-Jones-Wang - All_Observations [Mean]","-7.0564","-2.4203","-1.0651","-0.5144","-0.3681","-0.0543","-0.0019","0.0318"
"Duarte-Jones-Wang - All_Observations [t-stat]","-14.34","-12.84","-12.07","-14.48","-13.66","-2.91","-0.17","3.37"
"Duarte-Jones-Wang - All_Observations [p-value]","0.0000","0.0000","0.0000","0.0000","0.0000","0.0036","0.8668","0.0008"
"Duarte-Jones-Wang - All_Observations [N]","11,791","24,916","73,896","130,463","84,620","121,201","174,892","167,942"
"Duarte-Jones-Wang - Midpoint [Mean]","-7.9248","-4.6243","-1.0960","-1.2348","-0.4367","0.0511","0.2603","0.1486"
"Duarte-Jones-Wang - Midpoint [t-stat]","-10.39","-14.19","-4.56","-9.72","-3.72","0.39","1.39","0.97"
"Duarte-Jones-Wang - Midpoint [p-value]","0.0000","0.0000","0.0000","0.0000","0.0002","0.6964","0.1638","0.3311"
"Duarte-Jones-Wang - Midpoint [N]","6,160","7,164","8,718","8,439","5,894","3,134","1,982","940"
"Duarte-Jones-Wang - Random [Mean]","-8.5180","-4.1349","-2.1101","-0.6193","-0.6317","0.1679","-0.0584","-0.0648"
"Duarte-Jones-Wang - Random [t-stat]","-10.89","-11.30","-6.95","-3.52","-5.38","1.29","-0.50","-0.58"
"Duarte-Jones-Wang - Random [p-value]","0.0000","0.0000","0.0000","0.0004","0.0000","0.1987","0.6158","0.5634"
"Duarte-Jones-Wang - Random [N]","6,160","7,164","8,718","8,439","5,894","3,134","1,982","940"
"Muravyev-Ni - All_Observations [Mean]","-9.8289","-2.4753","-1.1472","-0.4715","-0.2634","0.0005","0.1093","0.2132"
"Muravyev-Ni - All_Observations [t-stat]","-14.41","-11.62","-15.70","-13.63","-10.80","0.02","6.46","9.34"
"Muravyev-Ni - All_Observations [p-value]","0.0000","0.0000","0.0000","0.0000","0.0000","0.9833","0.0000","0.0000"
"Muravyev-Ni - All_Observations [N]","5,848","12,930","39,111","76,618","57,060","68,483","104,860","58,823"
"Muravyev-Ni - Midpoint [Mean]","-10.3157","-4.3624","-1.9079","-0.6859","-0.3921","1.4725","-0.3143","3.9391"
"Muravyev-Ni - Midpoint [t-stat]","-9.92","-9.13","-7.71","-4.04","-3.05","3.13","-1.50","5.11"
"Muravyev-Ni - Midpoint [p-value]","0.0000","0.0000","0.0000","0.0001","0.0023","0.0018","0.1349","0.0000"
"Muravyev-Ni - Midpoint [N]","2,946","3,855","5,363","5,937","4,578","2,649","1,651","924"
"Muravyev-Ni - Random [Mean]","-11.7833","-3.4582","-2.0559","-0.7336","-0.5906","-0.1421","0.1283","0.8795"
"Muravyev-Ni - Random [t-stat]","-11.02","-7.05","-7.37","-3.51","-5.18","-1.03","0.95","2.46"
"Muravyev-Ni - Random [p-value]","0.0000","0.0000","0.0000","0.0005","0.0000","0.3046","0.3447","0.0140"
"Muravyev-Ni - Random [N]","2,946","3,855","5,363","5,937","4,578","2,649","1,651","924"
