"row_id","Deep OTM","OTM","ATM","ITM","Deep ITM"
"Duarte-Jones-Wang - All_Observations [Mean]","-0.8069","-1.0950","-0.1992","0.3351","0.1125"
"Duarte-Jones-Wang - All_Observations [t-stat]","-25.94","-19.52","-3.98","22.03","26.49"
"Duarte-Jones-Wang - All_Observations [p-value]","0.0000","0.0000","0.0001","0.0000","0.0000"
"Duarte-Jones-Wang - Midpoint [Mean]","-5.5239","-5.7980","-0.9906","0.8944","0.1660"
"Duarte-Jones-Wang - Midpoint [t-stat]","-20.47","-15.66","-2.52","10.47","7.68"
"Duarte-Jones-Wang - Midpoint [p-value]","0.0000","0.0000","0.0116","0.0000","0.0000"
"Duarte-Jones-Wang - Random [Mean]","-4.9607","-6.5225","-1.7048","1.0462","0.2241"
"Duarte-Jones-Wang - Random [t-stat]","-18.14","-15.69","-3.94","9.31","10.14"
"Duarte-Jones-Wang - Random [p-value]","0.0000","0.0000","0.0001","0.0000","0.0000"
"Muravyev-Ni - All_Observations [Mean]","-0.6965","-1.1405","-0.3617","0.4023","1.2220"
"Muravyev-Ni - All_Observations [t-stat]","-21.52","-27.44","-9.44","16.35","11.59"
"Muravyev-Ni - All_Observations [p-value]","0.0000","0.0000","0.0000","0.0000","0.0000"
"Muravyev-Ni - Midpoint [Mean]","-4.4081","-6.7250","-1.9510","2.0695","8.1520"
"Muravyev-Ni - Midpoint [t-stat]","-17.28","-22.96","-6.68","8.66","8.69"
"Muravyev-Ni - Midpoint [p-value]","0.0000","0.0000","0.0000","0.0000","0.0000"
"Muravyev-Ni - Random [Mean]","-3.5471","-6.7064","-2.5155","1.8632","5.0532"
"Muravyev-Ni - Random [t-stat]","-15.29","-24.13","-8.30","8.43","6.25"
"Muravyev-Ni - Random [p-value]","0.0000","0.0000","0.0000","0.0000","0.0000"
